id,problema,estado_actual,decision_propuesta,accion,ids_afectados,fuente,motivo,resultado_final_propuesto
formentera-tarjeta-nado-multiple,La fuente oficial no permite justificar todavía una vigencia/modelo suficientemente preciso,POR VERIFICAR,HOLD_VERIFY,verificar,formentera-tarjeta-nado-multiple,https://www.transparencia.conselldeformentera.cat/index.php?Itemid=190&id=133&lang=es&layout=blog&option=com_content&view=category,"Base original: El área de Infancia y Familia incluye la Tarjeta Nadó entre sus recursos para familias en casos de parto o adopción múltiple. | Quién: Familias residentes que hayan tenido un parto múltiple o una adopción múltiple y reúnan las condiciones establecidas por el Consell. | Documentos: Identificación, empadronamiento y documentación que acredite el nacimiento o adopción múltiple, además de lo que solicite Servicios Sociales. | Nota: Debe comprobarse junto con las prestaciones estatales y autonómicas por nacimiento, adopción y familia numerosa; son vías diferentes. | Cuantía: Beneficio/ayuda familiar según condiciones vigentes del programa",Mantener en corpus con estado POR VERIFICAR; excluir de Abiertas ahora hasta nueva comprobación
formentera-emergencia-social,"La fila mezcla programa estable, portal agregador o varias convocatorias/modalidades con distinta vigencia",POR VERIFICAR,HOLD_MODELING,dividir,formentera-emergencia-social (program_id actual) | call_id(s) por definir tras separación,https://www.transparencia.conselldeformentera.cat/index.php?Itemid=190&id=133&lang=es&layout=blog&option=com_content&view=category,"Base original: Los Servicios Sociales de Atención Primaria tramitan bonos de emergencia social y la tarjeta básica para personas y familias que atraviesan una situación de necesidad. | Quién: Población residente que presente una necesidad social o económica y sea valorada por el equipo de Servicios Sociales. | Documentos: Identificación, situación familiar y económica y justificantes de la necesidad o gasto que solicite el equipo profesional. | Nota: Son prestaciones de carácter subsidiario y deben coordinarse con otras ayudas públicas para evitar financiar dos veces el mismo gasto. | Cuantía: Cuantía o cobertura según necesidad y valoración de Servicios Sociales | No presentar como una ayuda única hasta identificar modalidades, requisitos y disponibilidad actual.",No migrar como ficha única: definir programa estable y convocatoria(s) con periodos separados
mallorca-vivienda-discapacidad-2026,"La fila mezcla programa estable, portal agregador o varias convocatorias/modalidades con distinta vigencia",POR VERIFICAR,HOLD_MODELING,dividir,mallorca-vivienda-discapacidad-2026 (program_id actual) | call_id(s) por definir tras separación,https://www.conselldemallorca.es/es/noticia1/-/asset_publisher/0kVpLMnZrHVi/content/el-consell-de-mallorca-impulsa-el-pla-d-acc%C3%A9s-a-l-habitatge-per-a-persones-amb-discapacitat-amb-137-places-noves-i-3-7-milions-d-euros-el-2026/695139,"Base original: Plan insular para ampliar recursos residenciales y apoyos de vida independiente destinados a personas con discapacidad, con nuevas plazas durante 2026. | Quién: Personas con discapacidad que cumplan los criterios de acceso a los recursos residenciales o de apoyo del IMAS. | Documentos: La documentación depende del recurso concreto y puede incluir reconocimiento de discapacidad, valoración social y datos de residencia e ingresos. | Nota: La asignación de plaza o apoyo debe coordinarse con dependencia y otros recursos residenciales para evitar duplicidades. | Cuantía: 137 nuevas plazas previstas en 2026; inversión pública de 3,7 millones € | Reclasificar como programa/recurso de vivienda, no como convocatoria de ayuda, salvo que se localice vía individual de acceso.",No migrar como ficha única: definir programa estable y convocatoria(s) con periodos separados
bal-alquiler,"La fila mezcla programa estable, portal agregador o varias convocatorias/modalidades con distinta vigencia",POR VERIFICAR,HOLD_MODELING,dividir,bal-alquiler (program_id actual) | call_id(s) por definir tras separación,https://www.caib.es/sites/dgha/ca/ajudes_a_lhabitatge/,"Base original: Portal oficial que reúne convocatorias y programas de ayuda relacionados con alquiler, vivienda y acceso residencial en las islas. | Quién: Personas o familias residentes en Illes Balears que cumplan los requisitos del procedimiento oficial. | Documentos: Solicitud, identificación y documentación de residencia, unidad familiar, ingresos o situación específica que exija el trámite. | Nota: Consultar la ficha oficial si se perciben otras ayudas para la misma finalidad. | Cuantía: Según requisitos, renta y convocatoria vigente | Proponer dividir por convocatoria (alquiler, compra, rehabilitación, etc.) antes de mostrar estado.",No migrar como ficha única: definir programa estable y convocatoria(s) con periodos separados
menorca-tjove-transporte,La fuente oficial no permite justificar todavía una vigencia/modelo suficientemente preciso,POR VERIFICAR,HOLD_VERIFY,verificar,menorca-tjove-transporte,https://cime.es/GesServeis/Gestion.aspx?IDGESTION=4,"Base original: Tarjeta de transporte para jóvenes y estudiantes que permite utilizar diferentes abonos insulares y aplicar las reducciones previstas para miembros de familia numerosa. | Quién: Menores de 22 años y estudiantes menores de 30 años que cursen estudios oficiales presenciales en Menorca fuera de su municipio de residencia, según las condiciones del título. | Documentos: Solicitud de tarjeta, identificación y, para estudiantes mayores, acreditación de matrícula; el descuento de familia numerosa exige título vigente. | Nota: Los descuentos de familia numerosa se aplican sobre los abonos admitidos en la tarjeta conforme a las reglas tarifarias vigentes. | Cuantía: Permite cargar abonos T21, T10 y T40 y aplicar los descuentos de familia numerosa que correspondan",Mantener en corpus con estado POR VERIFICAR; excluir de Abiertas ahora hasta nueva comprobación
bal-conciliacion,"La fila mezcla programa estable, portal agregador o varias convocatorias/modalidades con distinta vigencia",POR VERIFICAR,HOLD_MODELING,dividir,bal-conciliacion (program_id actual) | call_id(s) por definir tras separación,https://www.caib.es/seucaib/es/tramites/tramite/6516134,"Base original: Subvenciones de conciliación para familias que cumplen las condiciones de la convocatoria, con consideración de situaciones como monoparentalidad, familia numerosa, tutela o acogimiento. | Quién: Personas o familias residentes en Illes Balears que cumplan los requisitos del procedimiento oficial. | Documentos: Solicitud, identificación y documentación de residencia, unidad familiar, ingresos o situación específica que exija el trámite. | Nota: Consultar la ficha oficial si se perciben otras ayudas para la misma finalidad. | Cuantía: Según requisitos, renta y convocatoria vigente | Programa 3 está ABIERTO del 10/09/2026 al 09/10/2026; Programa 2 cerró 31/07/2026. Proponer dividir por programa; no marcar la fila genérica como ABIERTO.",No migrar como ficha única: definir programa estable y convocatoria(s) con periodos separados
tenerife-cheque-guarderia-2026,La fuente oficial no permite justificar todavía una vigencia/modelo suficientemente preciso,POR VERIFICAR,HOLD_VERIFY,verificar,tenerife-cheque-guarderia-2026,https://www.tenerife.es/w/el-cabildo-impulsa-la-cuarta-edici%C3%B3n-del-cheque-guarder%C3%ADa-para-aliviar-los-gastos-de-las-familias-con-hijos-peque%C3%B1os,"Base original: Ayuda del Cabildo para gastos de escolarización en centros infantiles de 0 a 3 años. Puede cubrir matrícula, custodia, higiene, alimentación y vestuario escolar, con libertad de elección de centro autorizado. | Quién: Familias con menores matriculados en centros de Educación Infantil de Tenerife que cumplan los requisitos económicos, de residencia y escolarización de la convocatoria 2026-2027. | Documentos: Solicitud telemática y documentación de matrícula, unidad familiar, residencia, ingresos y gasto según las bases. | Nota: Debe comprobarse con otras ayudas que financien los mismos gastos de escuela infantil; no puede existir sobrefinanciación. | Cuantía: Hasta 800 € por menor",Mantener en corpus con estado POR VERIFICAR; excluir de Abiertas ahora hasta nueva comprobación
fuerteventura-neae-2026,"La ficha es migrable, pero conviene aplicar la sustitución de URL con trazabilidad",CERRADO,READY,mantener,fuerteventura-neae-2026,https://transparencia.cabildofuer.es/es/importe-objetivo-o-finalidad-descripcion-de-las-posibles-personas-beneficiarias-y-en-el-caso-de-las?field_date_value%5Bmax%5D=&field_date_value%5Bmin%5D=&field_name_value=&items_per_page=5&name=&order=field_date&page=2&sort=desc,"Base original: Convocatoria insular de becas para necesidades específicas de apoyo educativo. El Cabildo mantiene una línea propia complementaria a las ayudas educativas estatales y autonómicas. | Quién: Alumnado que reúna las condiciones de necesidades específicas de apoyo educativo previstas en la convocatoria y los requisitos de residencia/escolarización correspondientes. | Documentos: La convocatoria se tramita con la documentación educativa, acreditación de necesidad o discapacidad y justificantes exigidos; en determinadas modalidades interviene el centro educativo. | Nota: Debe comprobarse la coordinación con las ayudas NEAE estatales y cualquier otra ayuda destinada al mismo recurso educativo. | Cuantía: Cuantía según grado/necesidad y bases de la convocatoria 2026 | La URL original es un listado de transparencia paginado; proponer ficha/noticia específica como enlace principal y conservar transparencia como respaldo.",Migrar manteniendo el estado verificado y la fuente; aplicar cambios de URL aprobados cuando corresponda
can-becas-educacion,"La fila mezcla programa estable, portal agregador o varias convocatorias/modalidades con distinta vigencia",POR VERIFICAR,HOLD_MODELING,dividir,can-becas-educacion (program_id actual) | call_id(s) por definir tras separación,https://www.gobiernodecanarias.org/educacion/web/alumnado-familias/becas_ayudas_subvenciones/becas-gobierno-canarias/index.html,"Base original: Punto oficial de acceso a becas, ayudas y subvenciones educativas autonómicas para distintos niveles y necesidades. | Quién: Personas o familias residentes en Canarias que cumplan los requisitos del procedimiento oficial. | Documentos: Solicitud, identificación y documentación de residencia, unidad familiar, ingresos o situación específica que exija el trámite. | Nota: Consultar la ficha oficial si se perciben otras ayudas para la misma finalidad. | Cuantía: Según requisitos, renta y convocatoria vigente | No es una ayuda única. Mantener como recurso informativo o dividir en convocatorias concretas.",No migrar como ficha única: definir programa estable y convocatoria(s) con periodos separados
can-libros,"La fila mezcla programa estable, portal agregador o varias convocatorias/modalidades con distinta vigencia",POR VERIFICAR,HOLD_MODELING,dividir,can-libros (program_id actual) | call_id(s) por definir tras separación,https://www.gobiernodecanarias.org/educacion/web/alumnado-familias/becas_ayudas_subvenciones/becas-gobierno-canarias/ayuda_libros_texto/index.html,"Base original: Canarias combina gratuidad directa de libros para determinados cursos con ayudas condicionadas a renta para otros niveles. | Quién: Según curso, centro, renta y composición familiar. | Documentos: Solicitud cuando corresponda y documentación económica/familiar. | Nota: Revisar si el alumno ya está cubierto por la modalidad gratuita antes de solicitar ayuda. | Cuantía: Gratuidad directa en determinados niveles; ayudas por renta en otros | Para determinados cursos el acceso al programa de gratuidad es automático con la matrícula; para otros niveles existen solicitudes con calendario. Proponer separar ambas modalidades.",No migrar como ficha única: definir programa estable y convocatoria(s) con periodos separados
can-temprana,Señal previa revisada; no bloquea la migración del recurso,PERMANENTE,READY,mantener,can-temprana,https://www.gobiernodecanarias.org/boc/2019/090/003.html,"Base original: Red pública coordinada entre sanidad, educación y servicios sociales para menores con trastornos del desarrollo o riesgo. | Quién: Menores de 0 a 6 años que cumplan criterios de necesidad. | Documentos: Derivación/valoración según circuito autonómico. | Nota: Revisar financiación duplicada del mismo tratamiento. | Cuantía: Universal y gratuita",Migrar manteniendo el estado verificado y la fuente; aplicar cambios de URL aprobados cuando corresponda
tenerife-transporte-estudios-2026,La fuente oficial no permite justificar todavía una vigencia/modelo suficientemente preciso,POR VERIFICAR,HOLD_VERIFY,verificar,tenerife-transporte-estudios-2026,https://www.tenerife.es/becas-y-ayudas-al-estudio,"Base original: Ayuda para alumnado que cursa presencialmente fuera de Tenerife estudios oficiales de grado, máster o doctorado; también incluye determinados participantes SICUE de la Universidad de La Laguna. | Quién: Estudiantes que cumplan matrícula, residencia y demás requisitos académicos/económicos de la convocatoria insular. | Documentos: Solicitud, matrícula, residencia, datos académicos y documentación económica que exija la convocatoria. | Nota: La modalidad de ayuda al transporte es compatible con ayudas de otras entidades públicas o privadas, sin límite de cuantía, según la información oficial del Cabildo. | Cuantía: Cuantía según convocatoria y modalidad",Mantener en corpus con estado POR VERIFICAR; excluir de Abiertas ahora hasta nueva comprobación
fuerteventura-transporte-familia-numerosa,La fuente oficial no permite justificar todavía una vigencia/modelo suficientemente preciso,POR VERIFICAR,HOLD_VERIFY,verificar,fuerteventura-transporte-familia-numerosa,https://www.cabildofuer.es/cabildo/areas-tematicas/transportes-movilidad-y-accesibilidad/bono-transporte/familia-numerosa/,"Base original: Tarjeta de transporte bonificada para miembros de familias numerosas residentes en la isla. | Quién: Personas incluidas en un título de familia numerosa vigente y empadronadas en un municipio de Fuerteventura. | Documentos: Solicitud, identificación, empadronamiento y título oficial de familia numerosa vigente. | Nota: Los porcentajes se aplican conforme a las reglas del bono; el Cabildo indica la posibilidad de bonificación adicional por residencia en los supuestos previstos. | Cuantía: 20 % categoría general · 50 % categoría especial; residentes pueden obtener un 30 % adicional según las reglas del bono",Mantener en corpus con estado POR VERIFICAR; excluir de Abiertas ahora hasta nueva comprobación
fuerteventura-carne-bienestar-naviera,La fuente oficial no permite justificar todavía una vigencia/modelo suficientemente preciso,POR VERIFICAR,HOLD_VERIFY,verificar,fuerteventura-carne-bienestar-naviera,https://sede.cabildofuer.es/eAdmin/Registrar.do?action=infoTramite&tipoReg=214,"Base original: Carné insular que permite acceder a bonificaciones en determinados trayectos marítimos entre Fuerteventura y otras islas para varios colectivos protegidos. | Quién: Residentes en Fuerteventura que sean estudiantes fuera de la isla, jóvenes desempleados de 18 a 30 años, personas con discapacidad igual o superior al 33 % o personas jubiladas mayores de 65 años, según la modalidad. | Documentos: Solicitud y documentación que acredite residencia y la condición correspondiente: estudios, desempleo, discapacidad o jubilación. | Nota: La bonificación depende del convenio vigente y debe comprobarse junto con los descuentos de residente canario u otros títulos aplicables al trayecto. | Cuantía: Bonificación de transporte marítimo según convenio vigente con la naviera",Mantener en corpus con estado POR VERIFICAR; excluir de Abiertas ahora hasta nueva comprobación
lanzarote-transporte-discapacidad,La fuente oficial no permite justificar todavía una vigencia/modelo suficientemente preciso,POR VERIFICAR,HOLD_VERIFY,verificar,lanzarote-transporte-discapacidad,https://transparencia.cabildodelanzarote.com/storage/uploads/1702889877Plan%20Insular%20de%20Transporte%20y%20Movilidad%20Sostenible%20de%20Lanzarote%202024-2031.pdf,"Base original: El sistema insular de transporte contempla un bono bonificado para personas con discapacidad dentro de la política de títulos sociales de Lanzarote. | Quién: Personas con discapacidad reconocida igual o superior al 33 % que cumplan las condiciones de residencia y acreditación del bono. | Documentos: Solicitud, identificación, empadronamiento cuando corresponda y certificado oficial de discapacidad. | Nota: Debe comprobarse la tarifa vigente y su relación con el Bono Residente Canario u otros títulos; no se acumulan descuentos cuando la normativa tarifaria no lo permita. | Cuantía: 50 % de descuento en el bono específico según el plan insular de movilidad | Proponer sustituir el plan por una fuente tarifaria/bono vigente antes de mantener el 50 %.",Mantener en corpus con estado POR VERIFICAR; excluir de Abiertas ahora hasta nueva comprobación
lanzarote-transporte-familia-numerosa,La fuente oficial no permite justificar todavía una vigencia/modelo suficientemente preciso,POR VERIFICAR,HOLD_VERIFY,verificar,lanzarote-transporte-familia-numerosa,https://transparencia.cabildodelanzarote.com/storage/uploads/1702889877Plan%20Insular%20de%20Transporte%20y%20Movilidad%20Sostenible%20de%20Lanzarote%202024-2031.pdf,"Base original: Lanzarote incluye una tarifa específica bonificada para miembros de familia numerosa dentro de sus títulos de transporte social. | Quién: Personas con título de familia numerosa vigente que cumplan las condiciones de identificación y residencia exigidas por el sistema de bonos. | Documentos: Solicitud, identificación, título de familia numerosa y acreditación de residencia cuando corresponda. | Nota: Debe comprobarse con la tarifa vigente y el Bono Residente Canario; la acumulación de reducciones depende de las reglas del título utilizado. | Cuantía: 30 % de descuento según el plan insular de movilidad | Proponer sustituir el plan por una fuente tarifaria/bono vigente antes de mantener el 30 %.",Mantener en corpus con estado POR VERIFICAR; excluir de Abiertas ahora hasta nueva comprobación
tenerife-becas-universidad-2026,La fuente oficial no permite justificar todavía una vigencia/modelo suficientemente preciso,POR VERIFICAR,HOLD_VERIFY,verificar,tenerife-becas-universidad-2026,https://www.tenerife.es/becas-y-ayudas-al-estudio,"Base original: El Cabildo ofrece becas para estudios universitarios de grado, máster o doctorado, complemento Erasmus y ayudas al transporte. | Quién: Estudiantes residentes que cumplan las condiciones académicas, de matrícula, renta y destino de estudios de cada modalidad. | Documentos: Solicitud telemática, matrícula, expediente, renta, residencia y documentación específica de movilidad cuando proceda. | Nota: La beca general de estudios es incompatible con ayudas análogas para los mismos estudios y finalidad; el complemento Erasmus y la ayuda al transporte tienen reglas de compatibilidad más amplias. | Cuantía: Cuantía según modalidad de estudios, Erasmus o transporte",Mantener en corpus con estado POR VERIFICAR; excluir de Abiertas ahora hasta nueva comprobación
la-palma-becas-estudio-2025-26,"La ficha es migrable, pero conviene aplicar la sustitución de URL con trazabilidad",CERRADO,READY,mantener,la-palma-becas-estudio-2025-26,https://www.cabildodelapalma.es/es/el-cabildo-destina-875000-euros-las-becas-al-estudio-del-curso-20252026,"Base original: Becas del Cabildo para ayudar con matrícula, desplazamiento, alojamiento, material y otros gastos vinculados a estudios universitarios, enseñanzas artísticas y ciclos formativos de grado medio y superior. | Quién: Alumnado con residencia habitual e ininterrumpida en algún municipio de La Palma durante al menos los dos últimos años y que curse las enseñanzas incluidas en la convocatoria. | Documentos: Solicitud normalizada y la documentación académica, de residencia y económica indicada en las bases; puede presentarse por sede electrónica y otros registros admitidos. | Nota: Debe comprobarse con otras becas de estudio según las bases; la ayuda está destinada a costes educativos concretos y no debe duplicar financiación del mismo gasto. | Cuantía: Convocatoria insular dotada con 875.000 €",Migrar manteniendo el estado verificado y la fuente; aplicar cambios de URL aprobados cuando corresponda
cant-dependencia,La fuente oficial no permite justificar todavía una vigencia/modelo suficientemente preciso,POR VERIFICAR,HOLD_VERIFY,verificar,cant-dependencia,https://sede.cantabria.es/sede/catalogo-de-tramites/104?estadopublicacion=EN_PLAZO&keywords=dependencia,"Base original: Acceso al catálogo oficial de trámites de dependencia para valoración, reconocimiento y prestaciones del sistema cántabro. | Quién: Personas o familias residentes en Cantabria que cumplan los requisitos del procedimiento oficial. | Documentos: Solicitud, identificación y documentación de residencia, unidad familiar, ingresos o situación específica que exija el trámite. | Nota: Consultar la ficha oficial si se perciben otras ayudas para la misma finalidad. | Cuantía: Servicios y prestaciones según grado y PIA",Mantener en corpus con estado POR VERIFICAR; excluir de Abiertas ahora hasta nueva comprobación
cant-temprana,La fuente oficial no permite justificar todavía una vigencia/modelo suficientemente preciso,POR VERIFICAR,HOLD_VERIFY,verificar,cant-temprana,https://www.scsalud.es/,"Base original: Atención pública para menores con trastornos del desarrollo o riesgo, incluyendo desarrollo motor, cognitivo, lenguaje, autonomía y apoyo familiar. | Quién: Menores de 0 a 6 años que cumplan criterios de necesidad. | Documentos: Acceso mediante el circuito del Servicio Cántabro de Salud y servicios coordinados. | Nota: Revisar otras ayudas que cubran el mismo tratamiento privado. | Cuantía: Gratuita | Proponer sustituir por ficha oficial específica de Atención Temprana antes de marcar PERMANENTE.",Mantener en corpus con estado POR VERIFICAR; excluir de Abiertas ahora hasta nueva comprobación
