Norma,Cláusula / criterio,Activo afectado,Comprobación,Resultado,Evidencia,Pendiente,Fuente URL
ISO 24495-1:2023,Principio 4 · Readers can easily use the information (usable),Sistema verbal oficial,La explicación indica directamente la función de Sabik: adaptar información para facilitar comprensión y uso.,PASS,specs/verbal-system.json,Verificar que la UI convierte la promesa en acciones comprensibles.,https://www.iso.org/obp/ui/#iso:std:iso:24495:-3:ed-1:v1:en
W3C COGA,Objective 3 · Use clear and understandable content,Sistema verbal / futura UI,"La redacción se ha reducido y aclarado, pero COGA recomienda comprobarla con usuarios.",PENDING HUMAN TEST,specs/verbal-system.json,Prueba de comprensión con personas con perfiles cognitivos y de aprendizaje diversos.,https://www.w3.org/TR/coga-usable/summary.html
W3C COGA,Usability testing with users,Sistema completo,No se sustituye la prueba humana por auditoría automática o revisión visual.,PENDING HUMAN TEST,compliance/SABIK_VISUAL_COMPLIANCE_MATRIX_V1.xlsx,Ejecutar sesiones de usabilidad inclusiva antes de afirmar accesibilidad global.,https://www.w3.org/TR/coga-usable/usability_testing.html
Reglamento (UE) 2024/1689,Artículo 50(1) · transparencia en interacción con IA,Identidad + futura UI,El sistema verbal oficial identifica explícitamente a Sabik como IA; la presencia visual no es el único canal.,PENDING HUMAN TEST,specs/verbal-system.json; specs/usage-rules.md,Integrar el identificador textual en el punto de interacción y verificar su percepción.,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng
ISO 14289-2:2024,PDF/UA-2,Entrega actual,No se genera una guía PDF en esta entrega.,NOT APPLICABLE,README.md,"Si se publica PDF, crear documento etiquetado y validarlo como PDF/UA-2.",https://www.iso.org/standard/82278.html
Identidad Sabik · Astra,Sistema verbal bloqueado,Todos los activos de esta entrega,El paquete usa exclusivamente el sistema verbal bloqueado por Astra.,PASS,specs/verbal-system.json; boards/SABIK_VERBAL_LOCKUP_T1_V1.webp,Mantener control de regresión de textos.,Proyecto Sabik / orden Astra 20-09-2026
Identidad Sabik · Astra,UNA MISMA ESENCIA · CUATRO PRESENCIAS,Láminas y documentación,Terminología oficial aplicada de forma única en la entrega.,PASS,README.md; boards/*.webp,No alternar con expresiones anteriores.,Proyecto Sabik / orden Astra 20-09-2026
Identidad Sabik · Astra,Una geometría maestra por presencia,Color / monocromo / silueta / escalas,Cada presencia tiene un maestro RGBA con hash y las variantes se derivan de él.,PASS,manifest.json; assets/masters/,Conservar hashes y procedencia al exportar nuevas variantes.,Proyecto Sabik / orden Astra 20-09-2026
Identidad Sabik · Astra,Silueta IA sin órbitas,Sabik IA,La silueta final procede de la masa alfa del maestro; no incluye líneas blancas cruzadas.,PASS,boards/SABIK_VISUAL_FAMILY_SILHOUETTES_V1.webp,Revisar que futuras exportaciones no reintroduzcan decoración orbital.,Proyecto Sabik / orden Astra 20-09-2026
Identidad Sabik · Astra,32 px mínimo recomendado,Las cuatro presencias,Se generan activos 64/40/32; 24 queda marcado solo como resistencia.,PASS,boards/SABIK_VISUAL_FAMILY_SCALES_V1.webp; assets/SABIK_DERIVED_ASSETS_V1.zip,Validación humana de baja visión separada.,Proyecto Sabik / orden Astra 20-09-2026
Identidad Sabik · Astra,Fondos claro / gris / oscuro,Las cuatro presencias,Se prueba la misma geometría sobre tres fondos sin rediseñar.,PASS,boards/SABIK_VISUAL_FAMILY_BACKGROUNDS_V1.webp,Revalidar en componentes reales con fondos de producto.,Proyecto Sabik / orden Astra 20-09-2026
Identidad Sabik · Astra,No rediseño,Matriz / Web / IA / Educa,La normalización deriva de la última referencia aprobada; no se generaron nuevas geometrías.,PASS,specs/normalization-evidence.md; manifest.json,Vectorización nativa futura no debe alterar contornos o lógica de capas.,Proyecto Sabik / orden Astra 20-09-2026
